,vslmp,VSLMP,312,N
,vslmp,VSLMP,312,N
,magenta-logic,"Magenta\ Logic",313,N
,magenta-logic,"Magenta\ Logic",313,N
,opalis-robot,"Opalis\ Robot",314,N
,opalis-robot,"Opalis\ Robot",314,N
,dpsi,DPSI,315,N
,dpsi,DPSI,315,N
,decauth,decAuth,316,N
,decauth,decAuth,316,N
,zannet,Zannet,317,N
,zannet,Zannet,317,N
,pkix-timestamp,"PKIX\ TimeStamp",318,N
,pkix-timestamp,"PKIX\ TimeStamp",318,N
,ptp-event,"PTP\ Event",319,N
,ptp-event,"PTP\ Event",319,N
,ptp-general,"PTP\ General",320,N
,ptp-general,"PTP\ General",320,N
,pip,PIP,321,N
,pip,PIP,321,N
,rtsps,RTSPS,322,N
,rtsps,RTSPS,322,N
,texar,"Texar\ Security\ Port",333,N
,texar,"Texar\ Security\ Port",333,N
,pdap,"Prospero\ Data\ Access\ Protocol",344,N
,pdap,"Prospero\ Data\ Access\ Protocol",344,N
,pawserv,"Perf\ Analysis\ Workbench",345,N
,pawserv,"Perf\ Analysis\ Workbench",345,N
,zserv,"Zebra\ server",346,N
,zserv,"Zebra\ server",346,N
,fatserv,"Fatmen\ Server",347,N
,fatserv,"Fatmen\ Server",347,N
,csi-sgwp,"Cabletron\ Management\ Protocol",348,N
,csi-sgwp,"Cabletron\ Management\ Protocol",348,N
,mftp,mftp,349,N
,mftp,mftp,349,N
,matip-type-a,"MATIP\ Type\ A",350,N
,matip-type-a,"MATIP\ Type\ A",350,N
,matip-type-b,"MATIP\ Type\ B",351,N
,matip-type-b,"MATIP\ Type\ B",351,N
,bhoetty,"bhoetty\ added\ 52197",351,N
,bhoetty,bhoetty,351,N
,dtag-ste-sb,"DTAG\ assigned\ long\ ago",352,N
,dtag-ste-sb,DTAG,352,N
,bhoedap4,"bhoedap4\ added\ 52197",352,N
,bhoedap4,bhoedap4,352,N
,ndsauth,NDSAUTH,353,N
,ndsauth,NDSAUTH,353,N
,bh611,bh611,354,N
,bh611,bh611,354,N
,datex-asn,DATEX\-ASN,355,N
,datex-asn,DATEX\-ASN,355,N
,cloanto-net-1,"Cloanto\ Net\ 1",356,N
